Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
gulabi nagari,"banquet halls, marriage garden / lawns",5.0,1,650.0,21,100,250,jaipur,2
hotel fly view,banquet halls,5.0,0,250.0,21,55,80,jaipur,2
anokhi veg restaurant,marriage garden / lawns,5.0,0,650.0,21,100,300,jaipur,2
mateshwari resort & hotel,"banquet halls, marriage garden / lawns",5.0,0,500.0,16,300,1000,jaipur,3
"lemon tree premier, jaipur","banquet halls, small function / party halls",5.0,1,900.0,21,200,500,jaipur,2
suhag marriage garden,"banquet halls, marriage garden / lawns",5.0,0,350.0,21,60,1500,jaipur,2
shree bhagirath palace,"banquet halls, marriage garden / lawns",5.0,1,400.0,21,100,1200,jaipur,2
hotel sapphire world,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,11,180,300,jaipur,3
royal curry open lawn,"banquet halls, marriage garden / lawns",5.0,0,800.0,21,120,500,jaipur,2
diamond paradise marriage garden,"banquet halls, marriage garden / lawns",5.0,0,51000.0,2,150,1200,jaipur,4
raj villas aryan garden,"banquet halls, marriage garden / lawns",5.0,1,950.0,21,200,1000,ncr,2
hills nature resort,"banquet halls, marriage garden / lawns",5.0,2,2700.0,10,600,1000,ncr,3
the sentinel hotel,"banquet halls, 3 star hotels with banquets",5.0,1,950.0,24,80,125,ncr,3
raj party lounge,"banquet halls, venues with rooms",5.0,1,1600.0,2,350,1000,ncr,3
qla,"banquet halls, small function / party halls",5.0,2,2950.0,21,75,800,ncr,2
tippling street,"party restaurants / lounge bars, small function / party halls",5.0,2,700.0,21,50,70,ncr,2
milan banquet,banquet halls,5.0,1,550.0,21,120,200,ncr,2
riviera green farm house,marriage garden / lawns,5.0,1,550.0,21,800,1300,ncr,3
"lemon tree hotel, sohna road, sector 68, gurgaon","3 star hotels with banquets, destination wedding venues",5.0,2,1500.0,21,200,500,ncr,1
hotel city park gurgaon,"4 star & above wedding hotels, venues with rooms",4.8,3,1700.0,39,350,1000,ncr,3
jaggi green garden,marriage garden / lawns,5.0,1,600.0,21,750,1000,ncr,2
grande banquet hall,"banquet halls, convention / function halls",5.0,1,1200.0,21,350,550,ncr,2
venkatesh party hall,banquet halls,5.0,1,300.0,21,350,550,chennai,2
zara's party hall,banquet halls,5.0,1,350.0,21,150,250,chennai,2
ethiki mini party hall,"banquet halls, kalyana mandapams",5.0,0,300.0,21,120,200,chennai,2
a.k.r. mahal,banquet halls,5.0,0,300.0,21,750,1050,chennai,2
majlis party hall,banquet halls,5.0,0,500.0,21,150,200,chennai,3
udhayam kalyana mandapam,"banquet halls, kalyana mandapams",5.0,1,500.0,21,450,600,chennai,2
aloha beach resort,"marriage garden / lawns, wedding farmhouses",5.0,0,800.0,9,200,400,chennai,4
sekaran hotel,"banquet halls, 3 star hotels with banquets",5.0,1,475.0,43,180,300,chennai,4
big bang theory bar and kitchen,small function / party halls,5.0,0,600.0,21,60,100,chennai,2
sai ram party hall,banquet halls,5.0,0,250.0,21,200,300,chennai,2
kailash resort,"banquet halls, marriage garden / lawns",5.0,1,250.0,26,700,1250,chennai,4
mount kailash suites,"banquet halls, 3 star hotels with banquets",5.0,0,600.0,18,150,250,chennai,3
"lemon tree hotel, shimona, chennai","4 star & above wedding hotels, banquet halls",5.0,0,800.0,54,30,200,chennai,3
shantai lawns,"banquet halls, marriage garden / lawns",4.5,1,400.0,21,200,1000,pune,2
carnival restaurant and bar,"party restaurants / lounge bars, banquet halls",5.0,1,1000.0,21,120,200,pune,2
suyash mangal karyalay,"banquet halls, kalyana mandapams",5.0,0,350.0,21,350,500,pune,2
"aradhana garden mangal karyalay, alandi","banquet halls, 3 star hotels with banquets",5.0,0,240.0,21,200,500,pune,2
the royal palms lawn,marriage garden / lawns,5.0,0,500000.0,21,200,500,pune,2
dario's restaurant café bar,"party restaurants / lounge bars, banquet halls",5.0,0,750.0,21,200,350,pune,1
"madhuban lawns, manjri","banquet halls, marriage garden / lawns",5.0,0,400.0,21,600,1800,pune,2
mangalmurti hall,banquet halls,5.0,0,300.0,21,200,300,pune,2
"lemon tree hotel, hinjawadi, pune","4 star & above wedding hotels, banquet halls",5.0,0,650.0,124,60,150,pune,3
kd mountain view villa,marriage garden / lawns,5.0,0,400.0,4,60,100,pune,3
hotel sanket inn,"banquet halls, 3 star hotels with banquets",5.0,0,650.0,60,150,250,pune,3
ramchandra sabhagruha,"banquet halls, marriage garden / lawns",5.0,0,450.0,21,150,500,pune,2
shiv shakti marriage lawn & banquet,"banquet halls, marriage garden / lawns",5.0,0,145000.0,6,150,1000,lucknow,4
hotel kunti international,"banquet halls, 3 star hotels with banquets",5.0,0,850.0,30,50,300,lucknow,3
chandra marriage lawn & banquet hall,"banquet halls, marriage garden / lawns",5.0,0,600.0,21,250,1200,lucknow,2
anand utsav banquet & lawn,"banquet halls, marriage garden / lawns",5.0,0,700.0,21,150,1000,lucknow,2
the residency inn,"banquet halls, marriage garden / lawns",5.0,0,55000.0,8,250,500,lucknow,4
sparrow farms,"banquet halls, marriage garden / lawns",5.0,0,650.0,14,35,600,lucknow,4
sheikh chilli,small function / party halls,5.0,0,349.0,21,60,90,lucknow,2
amba guest house,"banquet halls, marriage garden / lawns",5.0,0,150.0,13,50,200,lucknow,3
mannat marriage hall,"banquet halls, convention / function halls",5.0,0,600.0,21,650,1000,lucknow,2
singh marriage hall,"banquet halls, marriage garden / lawns",5.0,0,500.0,21,600,1000,lucknow,2
charans club and resort,"banquet halls, marriage garden / lawns",5.0,1,650.0,30,80,500,lucknow,3
his own blessings plaza guest house and marriage hall,"banquet halls, small function / party halls",5.0,0,300.0,21,90,250,lucknow,2
ganpati palace,marriage garden / lawns,5.0,0,300.0,21,250,300,jaipur,2
hotel neelgiri & marriage hall,"banquet halls, marriage garden / lawns",5.0,0,450.0,35,250,500,jaipur,3
park oasis hotels,"banquet halls, 3 star hotels with banquets",5.0,0,1000.0,43,150,500,jaipur,3
hari van,"banquet halls, marriage garden / lawns",5.0,2,1500.0,200,350,1500,jaipur,4
jai club prime,"banquet halls, 3 star hotels with banquets",5.0,0,550.0,36,300,500,jaipur,3
dhan baagh resort,marriage garden / lawns,5.0,0,450.0,21,200,500,jaipur,1
rajasthan palace hotel,"banquet halls, 3 star hotels with banquets",5.0,1,1000.0,30,150,300,jaipur,3
dezire hotels & resorts,"banquet halls, 3 star hotels with banquets",5.0,0,450.0,20,100,150,jaipur,3
the shivir,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,450.0,10,120,200,jaipur,3
sky lounge,small function / party halls,5.0,0,400.0,21,70,120,jaipur,1
kaleva banquet,"banquet halls, small function / party halls",5.0,0,600.0,21,60,90,jaipur,2
haccrs banquet and conference,"banquet halls, venues with rooms",5.0,0,550.0,20,250,350,jaipur,3
